data,pluvio_id,mm,fazenda
2025-09-17,KRT-017,0.0,KRT
2025-09-17,KRT-018,0.0,KRT
2025-09-17,KRT-019,0.25,KRT
2025-09-17,KRT-020,0.51,KRT
2025-09-17,KRT-021,2.29,KRT
2025-09-17,KRT-022,0.51,KRT
2025-09-17,KRT-023,4.06,KRT
2025-09-17,KRT-024,0.0,KRT
2025-09-17,KRT-025,0.51,KRT
2025-09-17,KRT-026,0.0,KRT
2025-09-17,KRT-027,0.0,KRT
2025-09-17,KRT-028,0.0,KRT
2025-09-17,KRT-029,1.52,KRT
2025-09-17,KRT-030,0.0,KRT
2025-09-17,KRT-031,0.0,KRT
2025-09-17,KRT-032,0.25,KRT
2025-09-17,KRT-033,0.0,KRT
2025-09-17,KRT-034,0.0,KRT
2025-09-17,KRT-035,0.0,KRT
2025-09-17,KRT-036,0.0,KRT
2025-09-17,KRT-037,0.0,KRT
2025-09-17,KRT-038,0.0,KRT
2025-09-17,KRT-039,0.0,KRT
2025-09-17,KRT-040,0.0,KRT
2025-09-17,KRT-041,0.0,KRT
2025-09-17,KRT-042,0.0,KRT
2025-09-17,KRT-043,0.0,KRT
2025-09-17,KRT-044,4.32,KRT
2025-09-17,KRT-045,0.0,KRT
2025-09-17,KRT-046,1.02,KRT
2025-09-17,KRT-047,0.0,KRT
2025-09-17,KRT-048,0.0,KRT
2025-09-17,KRT-049,0.0,KRT
2025-09-17,KRT-050,1.27,KRT
2025-09-17,KRT-051,0.0,KRT
2025-09-17,KRT-052,3.05,KRT
2025-09-17,KRT-053,0.0,KRT
2025-09-17,KRT-054,0.0,KRT
2025-09-17,KRT-055,2.29,KRT
2025-09-17,KRT-056,0.0,KRT
2025-09-17,KRT-057,2.03,KRT
2025-09-17,KRT-058,3.0,KRT
2025-09-17,KRT-059,0.0,KRT
2025-09-17,KRT-060,3.56,KRT
2025-09-17,KRT-061,1.78,KRT
2025-09-17,KRT-062,1.75,KRT
2025-09-17,KRT-063,0.0,KRT
2025-09-17,KRT-064,0.0,KRT
2025-09-17,KRT-065,0.0,KRT
2025-09-17,KRT-066,0.25,KRT
2025-09-17,KRT-067,0.0,KRT
2025-09-17,KRT-068,0.0,KRT
2025-09-17,KRT-069,0.0,KRT
2025-09-17,KRT-070,2.76,KRT
2025-09-17,KRT-071,0.0,KRT
2025-09-17,KRT-072,1.52,KRT
2025-09-17,KRT-073,1.27,KRT
2025-09-17,KRT-074,4.06,KRT
2025-09-18,KRT-001,0.0,KRT
2025-09-18,KRT-002,0.0,KRT
2025-09-18,KRT-003,0.0,KRT
2025-09-18,KRT-004,0.0,KRT
2025-09-18,KRT-005,0.0,KRT
2025-09-18,KRT-006,0.0,KRT
2025-09-18,KRT-007,0.0,KRT
2025-09-18,KRT-008,0.0,KRT
2025-09-18,KRT-009,0.0,KRT
2025-09-18,KRT-010,0.0,KRT
2025-09-18,KRT-011,0.0,KRT
2025-09-18,KRT-012,0.0,KRT
2025-09-18,KRT-013,0.76,KRT
2025-09-18,KRT-014,0.25,KRT
2025-09-18,KRT-015,0.0,KRT
2025-09-18,KRT-016,0.0,KRT
2025-09-18,KRT-017,0.0,KRT
2025-09-18,KRT-018,0.0,KRT
2025-09-18,KRT-019,0.0,KRT
2025-09-18,KRT-020,0.0,KRT
2025-09-18,KRT-021,0.0,KRT
2025-09-18,KRT-022,0.0,KRT
2025-09-18,KRT-023,0.0,KRT
2025-09-18,KRT-024,0.0,KRT
2025-09-18,KRT-025,0.0,KRT
2025-09-18,KRT-026,0.0,KRT
2025-09-18,KRT-027,0.0,KRT
2025-09-18,KRT-028,0.0,KRT
2025-09-18,KRT-029,1.02,KRT
2025-09-18,KRT-030,0.0,KRT
2025-09-18,KRT-031,0.0,KRT
2025-09-18,KRT-032,0.0,KRT
2025-09-18,KRT-033,0.0,KRT
2025-09-18,KRT-034,0.0,KRT
2025-09-18,KRT-035,0.0,KRT
2025-09-18,KRT-036,0.0,KRT
2025-09-18,KRT-037,0.0,KRT
2025-09-18,KRT-038,0.0,KRT
2025-09-18,KRT-039,0.0,KRT
2025-09-18,KRT-040,0.0,KRT
2025-09-18,KRT-041,0.0,KRT
2025-09-18,KRT-042,0.0,KRT
2025-09-18,KRT-043,0.0,KRT
2025-09-18,KRT-044,0.25,KRT
2025-09-18,KRT-045,0.0,KRT
2025-09-18,KRT-046,0.0,KRT
2025-09-18,KRT-047,0.0,KRT
2025-09-18,KRT-048,0.0,KRT
2025-09-18,KRT-049,0.0,KRT
2025-09-18,KRT-050,0.0,KRT
2025-09-18,KRT-051,3.56,KRT
2025-09-18,KRT-052,0.0,KRT
2025-09-18,KRT-053,0.0,KRT
2025-09-18,KRT-054,0.0,KRT
2025-09-18,KRT-055,0.0,KRT
2025-09-18,KRT-056,0.0,KRT
2025-09-18,KRT-057,0.0,KRT
2025-09-18,KRT-058,0.0,KRT
2025-09-18,KRT-059,0.0,KRT
2025-09-18,KRT-060,0.0,KRT
2025-09-18,KRT-061,0.0,KRT
2025-09-18,KRT-062,0.0,KRT
2025-09-18,KRT-063,0.0,KRT
2025-09-18,KRT-064,0.0,KRT
2025-09-18,KRT-065,0.0,KRT
2025-09-18,KRT-066,0.0,KRT
2025-09-18,KRT-067,0.0,KRT
2025-09-18,KRT-068,0.0,KRT
2025-09-18,KRT-069,0.0,KRT
